I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
Yes,Very often,7,7,7,7,"Honesty / Integrity, Responsibility, Faith / Spirituality",children,7,7,7,1,7,7,1,1,1,"Relationships, Work / career",5,5,5,5,5,7,7,1,1,1,1,1,7,1,1,7,7,"Fairness, Responsibility, Transparency",55 - 65,Employed full time,Postgraduate degree,Canada,Woman,7
Yes,Very often,6,6,6,6,"Family, Achievement / Growth, Compassion",My family,5,3,4,3,4,3,5,7,6,"Health, Relationships, Finances",3,4,4,2,3,5,2,5,2,7,7,6,5,5,6,3,4,"Fairness, Non-harm, Transparency",25 - 34,Employed full time,Bachelor’s degree,UK,Woman,3
Yes,Everyday,7,5,7,7,"Family, Achievement / Growth, Responsibility","My family is the most important thing to me, and also my finances is a core component of how I perceive my identity.",4,7,5,1,5,7,1,1,3,"Relationships, Work / career, Finances",3,2,4,1,5,7,1,3,1,5,5,7,6,5,4,7,7,"Honesty, Empathy, Non-harm",25 - 34,Self-employed / freelance,Bachelor’s degree,US,Woman,4
Yes,Occasionally,7,6,7,7,"Family, Honesty / Integrity, Compassion",my wife,6,7,7,1,6,6,1,1,1,"Work / career, Finances",5,5,2,5,5,7,1,1,1,1,1,1,4,1,2,3,3,"Honesty, Responsibility, Transparency",35 - 44,Employed full time,High school,US,Man,6
Yes,Often,6,6,6,6,"Family, Honesty / Integrity, Health",Family,5,5,5,4,4,5,3,5,3,Digital habits,4,3,4,2,2,5,4,5,5,4,4,4,2,6,6,5,6,"Fairness, Responsibility, Human wellbeing",55 - 65,Employed full time,Bachelor’s degree,UK,Woman,5
Yes,Often,5,6,5,6,"Family, Honesty / Integrity, Independence",The ability to be a good and independent person who values Family/Friendship connections.,6,6,5,3,6,6,7,6,2,None,4,4,5,4,4,4,2,2,3,1,3,2,4,4,4,5,5,"Honesty, Empathy, Respect",25 - 34,Employed full time,Bachelor’s degree,UK,Man,5
Yes,Very often,7,7,7,7,"Family, Health, Compassion",My Children,7,7,7,1,7,7,1,1,1,None,5,5,3,3,5,7,1,1,1,1,1,1,1,7,3,7,7,"Honesty, Empathy, Non-harm",25 - 34,Not currently working,Some university/college,UK,Woman,7
Yes,Everyday,6,6,5,7,"Family, Honesty / Integrity, Independence","Supporting my family and closest friends, treating others with respect.",5,5,5,3,6,7,2,3,3,"Relationships, Digital habits",5,5,4,3,4,7,2,2,2,4,5,4,3,6,5,5,6,"Human wellbeing, Non-harm, Transparency",45 - 54,Self-employed / freelance,Postgraduate degree,UK,Man,7
Yes,Often,7,7,5,6,"Honesty / Integrity, Independence, Creativity",My kids ,5,5,5,4,5,3,4,4,4,"Relationships, Finances",4,3,5,4,3,6,2,2,3,7,6,5,4,6,4,5,7,"Responsibility, Human wellbeing, Accountability",45 - 54,Self-employed / freelance,Postgraduate degree,UK,Woman,5
Yes,Very often,6,6,6,5,"Honesty / Integrity, Achievement / Growth, Adventure",enjoying my time on earth and making the most of my life; fun experiences,2,4,5,2,4,6,2,2,5,"Time / focus, Finances, Purpose / direction",3,3,3,2,2,5,4,6,7,7,4,6,2,7,7,3,4,"Honesty, Responsibility, Non-harm",25 - 34,Employed full time,Postgraduate degree,UK,Woman,4
Yes,Often,5,6,5,5,"Family, Honesty / Integrity, Security / Stability",Happiness,4,3,3,7,2,3,4,5,5,"Health, Relationships, Work / career, Digital habits, Purpose / direction",2,3,2,3,2,4,5,5,4,5,5,4,4,6,6,6,6,"Fairness, Human wellbeing, Non-harm",45 - 54,Employed part-time,Some university/college,Canada,Man,4
Yes,Occasionally,6,6,5,6,"Family, Health, Adventure",My family,7,6,5,2,6,6,1,2,2,"Work / career, Digital habits, Finances",5,4,4,2,4,7,2,1,1,5,6,5,2,6,6,6,7,"Honesty, Empathy, Respect",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Sometimes,6,4,4,5,"Family, Independence, Community / Contribution",Providing care for my family.,6,5,5,4,4,5,2,4,4,None,3,3,2,3,4,5,2,4,3,4,2,3,4,6,4,4,5,"Empathy, Responsibility, Non-harm",Over 65,Not currently working,Some university/college,UK,Man,4
Yes,Occasionally,6,7,5,6,"Family, Security / Stability, Responsibility",Looking after my family and 2 young boys,7,5,6,2,6,6,2,3,2,"Work / career, Digital habits",3,2,4,3,4,5,2,2,2,4,3,1,5,6,4,5,6,"Honesty, Respect, Human wellbeing",25 - 34,Employed part-time,Bachelor’s degree,UK,Woman,5
Yes,Often,5,5,5,4,"Honesty / Integrity, Health, Adventure",Health,1,5,4,5,4,4,4,4,5,"Health, Time / focus, Relationships",4,3,4,3,3,5,4,4,6,5,4,4,4,4,5,4,4,"Responsibility, Transparency, Accountability",25 - 34,Employed full time,Bachelor’s degree,US,Woman,5
Yes,Sometimes,7,6,7,6,"Family, Honesty / Integrity, Faith / Spirituality",My family and my feelings,3,1,2,2,1,3,5,4,2,"Time / focus, Work / career, Purpose / direction",3,3,3,2,4,7,2,4,1,5,1,1,1,7,4,5,3,"Honesty, Non-harm, Transparency",35 - 44,Employed full time,Bachelor’s degree,Canada,Woman,5
Yes,Everyday,7,6,6,6,"Family, Health, Responsibility",family,7,7,6,2,7,6,7,4,3,Time / focus,5,4,5,5,5,7,6,7,7,6,7,5,6,7,3,6,5,"Honesty, Empathy, Fairness",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,6
Yes,Sometimes,6,6,6,6,"Family, Honesty / Integrity, Compassion",My family.,5,5,5,2,5,6,2,3,4,Health,3,3,3,3,4,5,3,3,3,5,4,4,2,7,5,7,7,"Empathy, Human wellbeing, Transparency",35 - 44,Employed full time,Bachelor’s degree,US,Man,4
Yes,Everyday,6,7,7,7,"Family, Health, Responsibility",My kids happiness.,7,7,6,2,7,7,6,4,2,"Work / career, Digital habits",5,5,5,5,5,6,4,2,2,5,2,2,2,6,3,7,6,"Fairness, Transparency",35 - 44,Employed part-time,Bachelor’s degree,UK,Woman,6
Yes,Everyday,7,6,6,6,"Honesty / Integrity, Compassion, Independence",health,6,5,5,3,5,6,2,2,2,"Health, Work / career, Finances",4,4,2,4,4,7,2,2,2,1,1,2,5,4,3,7,7,"Honesty, Fairness, Transparency",45 - 54,Employed full time,Some university/college,UK,Man,6
Yes,Sometimes,7,7,7,7,"Security / Stability, Health, Faith / Spirituality",spirituality,7,7,7,1,7,7,7,1,1,None,5,5,5,5,5,7,1,1,1,1,1,1,1,7,1,7,7,"Respect, Human wellbeing, Non-harm",25 - 34,Employed full time,Some university/college,US,Woman,7
Yes,Rarely,6,5,7,6,"Family, Honesty / Integrity, Responsibility",My children and extended family. ,6,5,5,2,4,6,2,3,4,"Relationships, Work / career, Finances",4,4,3,4,3,6,2,3,3,3,1,2,1,7,5,7,7,"Honesty, Fairness, Human wellbeing",55 - 65,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Very often,5,6,5,5,"Family, Security / Stability, Health",Providing for my family and my young daughter. Giving her a good upbringing and a good life. ,5,5,6,2,6,6,3,4,5,"Time / focus, Relationships, Purpose / direction",2,2,3,3,2,5,1,4,3,5,5,5,6,5,5,4,5,"Honesty, Transparency, Accountability",35 - 44,Employed full time,Some university/college,UK,Man,3
Yes,Everyday,6,5,6,6,"Family, Honesty / Integrity, Independence",Family and my independance,6,6,5,3,5,6,1,1,1,Relationships,3,3,2,2,3,6,2,2,1,5,3,2,5,5,1,5,5,"Non-harm, Transparency, Accountability",45 - 54,Not currently working,Postgraduate degree,UK,Man,4
Yes,Rarely,7,6,7,7,"Honesty / Integrity, Security / Stability, Compassion",Making an impact on people’s lives ,6,4,6,1,6,6,1,6,3,"Health, Finances",4,3,2,2,4,7,2,1,1,3,1,1,2,7,5,3,5,"Honesty, Fairness, Non-harm",25 - 34,Student,Postgraduate degree,UK,Woman,6
Yes,Sometimes,6,5,5,6,"Honesty / Integrity, Independence, Adventure",Independence,4,3,3,5,2,6,3,2,2,Relationships,3,5,4,4,3,6,2,2,1,1,2,2,5,6,3,4,6,"Honesty, Fairness, Transparency",25 - 34,Employed part-time,Some university/college,Canada,Man,5
Yes,Everyday,5,5,4,4,"Security / Stability, Compassion, Independence","My own independence, so I feel like I'm my own person",3,4,4,5,4,4,5,6,5,"Time / focus, Relationships, Purpose / direction",2,2,3,3,3,5,4,4,4,5,5,5,5,4,4,4,5,"Fairness, Respect, Transparency",35 - 44,Employed full time,Some university/college,UK,Man,3
Yes,Everyday,6,6,5,5,"Family, Achievement / Growth, Health",That I continue to learn and grow in knowledge,6,6,5,2,6,6,1,3,3,"Health, Time / focus, Finances",5,5,4,5,5,6,2,2,3,3,3,3,5,4,6,5,6,"Non-harm, Transparency, Accountability",Over 65,Not currently working,Some university/college,US,Woman,7
Yes,Rarely,5,5,5,5,"Family, Achievement / Growth, Health",Probably my Partner,5,6,4,3,3,6,5,7,2,"Health, Relationships, Finances",4,3,3,2,4,5,4,5,3,6,3,4,2,5,3,6,5,"Honesty, Fairness, Human wellbeing",18 - 24,Student,High school,UK,Woman,5
Yes,Very often,6,6,5,6,"Family, Achievement / Growth, Health",What matters most to me in life is personal fulfillment. I realize that is different for everyone.,6,6,6,2,6,6,1,3,2,None,4,4,4,3,4,6,4,3,2,3,2,2,5,4,4,5,6,"Fairness, Transparency, Accountability",35 - 44,Employed full time,Postgraduate degree,US,Woman,6
Yes,Everyday,7,4,5,7,"Honesty / Integrity, Health, Compassion",Friends,2,2,1,7,2,4,2,1,7,None,3,2,3,1,3,4,1,5,2,4,1,3,1,7,7,7,7,"Responsibility, Non-harm, Transparency",18 - 24,Employed part-time,Some university/college,Canada,Prefer not to say,1
Yes,Rarely,6,6,6,6,"Security / Stability, Independence, Creativity",Stability,3,5,2,3,2,6,2,4,4,"Health, Work / career, Purpose / direction",3,4,2,4,4,6,1,2,1,2,1,2,1,7,6,5,5,"Honesty, Empathy, Fairness",35 - 44,Self-employed / freelance,Postgraduate degree,Canada,Woman,4
Yes,Rarely,6,5,6,5,"Family, Health, Responsibility",My family,5,3,3,4,3,6,3,3,5,Health,3,3,2,3,3,5,3,3,3,5,3,4,3,5,5,5,5,"Honesty, Fairness, Human wellbeing",Over 65,Not currently working,Bachelor’s degree,UK,Woman,5
Yes,Rarely,7,7,6,6,"Family, Honesty / Integrity, Faith / Spirituality",My personal relationship with God and my family,6,5,7,1,6,7,2,3,3,"Time / focus, Digital habits, Finances",4,4,4,5,5,7,2,4,3,4,2,3,1,7,5,4,7,"Honesty, Responsibility, Non-harm",45 - 54,Not currently working,Some university/college,US,Woman,6
Yes,Everyday,6,6,6,5,"Family, Honesty / Integrity, Security / Stability",being mentally well,4,3,5,5,5,3,6,5,5,"Work / career, Finances, Purpose / direction",3,3,2,3,2,6,4,6,5,6,6,6,6,4,5,5,5,"Honesty, Empathy, Human wellbeing",25 - 34,Not currently working,Bachelor’s degree,UK,Woman,4
Yes,Sometimes,5,5,3,3,"Security / Stability, Compassion, Independence",to live freely and bring kindness to others,2,2,2,7,5,2,6,7,7,"Time / focus, Relationships, Work / career, Digital habits, Finances, Purpose / direction",3,4,2,4,3,5,6,6,6,7,7,6,2,7,7,5,6,"Empathy, Fairness, Accountability",18 - 24,Not currently working,Bachelor’s degree,US,Woman,3
Yes,Everyday,5,5,6,4,"Family, Security / Stability, Health",Family,6,5,5,7,5,4,6,5,6,"Relationships, Digital habits, Purpose / direction",4,4,4,3,3,6,5,5,6,7,6,6,4,7,5,6,7,"Honesty, Fairness, Transparency",45 - 54,Employed part-time,Postgraduate degree,UK,Man,5
Yes,Very often,6,6,5,6,"Independence, Creativity, Responsibility",Financial stability and family,5,5,5,4,6,5,4,5,4,"Time / focus, Digital habits, Purpose / direction",4,4,4,3,4,6,4,3,3,5,5,5,4,6,5,7,7,"Honesty, Empathy, Human wellbeing",25 - 34,Employed full time,Some university/college,UK,Man,5
Yes,Everyday,7,7,6,7,"Family, Honesty / Integrity, Health","Being a good, honest and compassionate person is very important to me but nothing is more important than my family. ",5,4,4,4,6,6,1,2,3,"Work / career, Finances",3,2,4,2,2,6,2,2,2,4,3,2,3,6,4,7,7,"Honesty, Non-harm, Transparency",45 - 54,Employed full time,High school,US,Woman,4
Yes,Rarely,6,6,5,5,"Family, Honesty / Integrity, Security / Stability",family,5,5,5,5,5,5,5,5,5,None,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,Honesty,18 - 24,Employed full time,High school,US,Man,2
Yes,Occasionally,6,6,5,7,"Security / Stability, Community / Contribution, Love",My sense of peace and love for the people around me. ,7,7,6,2,6,7,2,2,2,"Time / focus, Digital habits",4,4,3,2,5,6,3,2,2,6,6,2,2,7,7,4,4,"Honesty, Respect, Responsibility",25 - 34,Employed full time,Bachelor’s degree,US,Woman,6
Yes,Everyday,7,7,3,7,"Honesty / Integrity, Compassion, Appreciation of the amazing experience of participating in Life.","Appreciation of the relationship of my experience to the rest of the world around me while recognizing the beauty of the process that causes my existence and will inevitably, inexorably, involve my own destruction.",7,7,7,3,7,6,3,7,6,"Relationships, Reactions to events not in my control, difficulty feeling compassion toward those with whom I violently disagree, ",4,4,4,4,4,6,2,4,5,1,3,6,6,4,1,7,7,"Honesty, Responsibility, Internal Discursive Audit, with transparency",Over 65,Not currently working,Some university/college,US,Man,7
Yes,Very often,5,4,3,5,"Family, Compassion, Adventure",Being able to live life by my own terms,4,4,4,5,5,5,2,7,7,"Time / focus, Work / career, Purpose / direction",3,2,4,3,3,6,4,5,5,7,7,7,7,7,5,3,4,"Honesty, Responsibility, Transparency",25 - 34,Employed full time,Bachelor’s degree,Canada,Man,4
Yes,Often,6,7,3,6,"Family, Health, Faith / Spirituality","My family, friends, health of myself and loved ones, and my relationship with God",7,5,5,2,6,6,3,3,2,"Digital habits, Finances",5,2,4,4,4,6,5,5,3,7,7,4,7,2,7,7,7,"Responsibility, Human wellbeing, Non-harm",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,5
Yes,Often,6,6,6,6,"Security / Stability, Health, Independence",Being happy and being a good person.,5,6,6,2,5,5,5,3,4,Relationships,4,4,4,3,4,6,3,3,2,5,5,3,3,5,2,5,5,"Respect, Transparency, Accountability",55 - 65,Employed full time,Bachelor’s degree,US,Man,6
Yes,Occasionally,7,7,5,7,"Family, Health, Faith / Spirituality",Family,7,7,7,1,7,7,1,1,2,"Work / career, Digital habits",4,4,4,4,5,6,2,2,2,5,5,4,1,7,7,4,4,"Honesty, Transparency, Accountability",55 - 65,Employed full time,Bachelor’s degree,US,Man,7
Yes,Occasionally,7,7,7,7,"Family, Honesty / Integrity, Security / Stability",my family's wellbeing,7,6,7,1,6,7,1,1,1,"Relationships, Digital habits",5,5,2,3,5,7,1,1,1,1,1,1,1,7,7,1,1,"Honesty, Human wellbeing, Accountability",35 - 44,Employed full time,Postgraduate degree,UK,Woman,6
Yes,Everyday,7,7,2,6,"Family, Honesty / Integrity, Responsibility",being honest and taking my responsibilities,5,5,5,3,4,6,3,6,4,"Relationships, Finances",3,3,3,3,4,5,2,5,4,3,3,3,2,6,5,5,5,"Honesty, Fairness, Respect",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Often,6,6,4,5,"Honesty / Integrity, Security / Stability, Health","health
",5,5,5,4,4,5,5,5,5,Health,4,4,4,4,4,6,2,4,4,6,6,6,5,6,6,6,5,"Honesty, Responsibility, Accountability",25 - 34,Employed full time,Postgraduate degree,UK,Woman,5
Yes,Often,5,5,4,4,"Family, Honesty / Integrity, Security / Stability",My family ,3,3,3,6,3,4,4,4,4,"Time / focus, Relationships, Purpose / direction",3,2,2,1,2,4,4,4,4,4,4,4,6,4,4,5,5,"Non-harm, Transparency, Accountability",35 - 44,Employed full time,Postgraduate degree,UK,Woman,3
Yes,Sometimes,6,6,6,6,"Family, Health, Adventure",My children grandchild and partner / family plus cat ,4,4,3,6,3,4,2,4,3,Purpose / direction,3,4,2,2,3,4,6,5,5,5,6,5,4,6,7,5,5,"Empathy, Respect, Transparency",55 - 65,Employed part-time,High school,UK,Woman,4
Yes,Sometimes,6,7,6,7,"Family, Security / Stability, Health","My family, without them I have nothing ",5,6,5,3,4,6,2,4,3,"Health, Time / focus, Relationships",4,3,2,2,2,5,2,4,3,3,3,2,5,4,2,6,5,"Honesty, Empathy, Transparency",25 - 34,Employed part-time,High school,Canada,Man,5
Yes,Occasionally,6,7,6,6,"Family, Honesty / Integrity, Compassion",My family ,6,5,4,3,4,6,4,4,4,"Health, Digital habits, Finances",2,2,3,4,3,5,5,5,5,6,7,6,2,6,4,6,6,"Honesty, Fairness, Respect",35 - 44,Employed full time,Some university/college,UK,Woman,3
Yes,Occasionally,5,6,5,5,"Family, Honesty / Integrity, Compassion",to live an interesting life,5,5,3,4,4,5,3,5,5,"Health, Time / focus",4,4,3,2,3,4,2,5,4,3,4,4,2,6,3,2,4,"Honesty, Non-harm, Transparency",35 - 44,Not currently working,Postgraduate degree,UK,Man,5
Yes,Sometimes,7,6,6,7,"Honesty / Integrity, Compassion, Responsibility",Loyalty,5,7,6,2,6,6,2,5,4,"Health, Time / focus, Purpose / direction",4,5,3,3,5,7,2,4,1,2,1,1,1,7,7,4,7,"Honesty, Fairness, Responsibility",25 - 34,Student,Some university/college,Canada,Man,7
Yes,Occasionally,7,7,6,7,"Family, Honesty / Integrity, Adventure",My marriage,6,5,4,4,4,7,2,4,3,Work / career,4,4,3,3,3,6,4,1,1,5,4,4,1,7,4,4,4,"Honesty, Fairness, Non-harm",55 - 65,Employed full time,Postgraduate degree,UK,Man,6
Yes,Everyday,6,6,6,7,"Family, Health, Independence",My wife and kids,6,5,6,5,6,5,3,3,2,Digital habits,4,5,4,3,5,6,1,2,2,2,1,2,1,6,5,4,6,"Fairness, Transparency, Accountability",45 - 54,Employed full time,Postgraduate degree,US,Man,6
Yes,Occasionally,7,7,7,7,"Family, Security / Stability, Responsibility",My family,7,7,7,1,7,7,1,1,1,"Health, Work / career",4,4,2,3,5,7,2,2,1,2,2,2,1,7,5,4,4,"Honesty, Fairness, Responsibility",45 - 54,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Very often,7,7,5,7,"Achievement / Growth, Creativity, Community / Contribution",Friends and growth,6,5,4,5,7,7,2,5,4,"Health, Time / focus, Finances",4,3,3,2,5,6,2,2,2,2,2,2,2,7,5,7,7,"Fairness, Human wellbeing, Non-harm",35 - 44,Employed part-time,Some university/college,US,Man,6
Yes,Very often,6,5,5,5,"Honesty / Integrity, Security / Stability, Health",Security ,4,4,4,4,4,5,2,2,4,None,4,4,3,3,3,5,5,3,3,4,4,3,4,6,6,7,7,"Honesty, Human wellbeing, Non-harm",55 - 65,Self-employed / freelance,High school,UK,Man,3
Yes,Sometimes,6,6,7,7,"Family, Honesty / Integrity, Health",family,6,5,6,2,6,6,2,2,2,"Work / career, Digital habits",4,4,3,4,4,6,2,2,3,3,2,2,2,6,3,6,6,"Honesty, Empathy, Non-harm",35 - 44,Employed full time,Bachelor’s degree,US,Woman,5
Yes,Sometimes,7,7,7,7,"Family, Honesty / Integrity, Responsibility",My family and friends,4,4,4,7,4,6,1,3,7,"Work / career, Purpose / direction",2,3,2,3,2,5,4,6,2,4,2,5,2,7,7,4,4,"Honesty, Empathy, Fairness",45 - 54,Employed full time,Bachelor’s degree,US,Man,4
Yes,Often,6,5,6,6,"Family, Security / Stability, Health",My children,7,5,6,2,5,5,3,4,4,Time / focus,3,2,3,1,4,5,6,4,3,7,6,5,3,6,2,7,7,"Responsibility, Non-harm, Accountability",35 - 44,Not currently working,Some university/college,UK,Woman,3
Yes,Rarely,5,5,6,5,"Honesty / Integrity, Health, Independence",happiness,4,5,5,3,3,6,3,6,5,"Work / career, Finances, Purpose / direction",2,2,3,2,3,5,2,3,3,3,3,5,2,6,4,4,6,"Honesty, Human wellbeing, Transparency",45 - 54,Not currently working,Some university/college,US,Man,3
Yes,Often,7,7,5,6,"Family, Honesty / Integrity, Health",family,6,6,6,6,6,6,2,2,2,"Time / focus, Work / career, Digital habits",4,4,4,4,4,7,4,2,2,7,6,4,3,7,6,6,5,"Honesty, Fairness, Non-harm",45 - 54,Employed full time,Bachelor’s degree,US,Woman,6
Yes,Everyday,7,6,6,7,"Family, Honesty / Integrity, Faith / Spirituality",honesty,1,7,7,1,7,7,1,2,2,None,5,4,4,4,5,6,4,2,1,2,1,2,1,7,5,4,6,"Honesty, Fairness, Respect",Over 65,Not currently working,Postgraduate degree,US,Woman,6
Yes,Everyday,6,6,4,6,"Family, Achievement / Growth, Health",My family (wife and child),6,6,6,4,7,5,6,6,2,"Time / focus, Work / career, Finances",4,4,4,3,4,5,5,2,6,6,5,5,4,7,5,6,5,"Fairness, Non-harm, Transparency",25 - 34,Employed full time,Postgraduate degree,US,Man,6
Yes,Often,7,6,6,6,"Family, Honesty / Integrity, Health",Family,6,5,6,2,5,6,2,2,2,Digital habits,4,4,3,4,3,6,2,2,2,2,2,1,2,6,3,6,5,"Fairness, Non-harm, Accountability",55 - 65,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Sometimes,7,6,6,7,"Family, Health, Compassion",My immediate family,6,6,6,1,5,6,4,4,4,"Time / focus, Work / career, Digital habits",3,3,2,2,3,6,4,2,3,4,4,2,5,4,5,5,5,"Honesty, Non-harm, Transparency",55 - 65,Employed part-time,High school,UK,Woman,5
Yes,Often,7,7,6,6,"Family, Security / Stability, Health","The health, security and happiness of my family.",6,4,5,6,5,5,6,6,6,"Health, Time / focus, Work / career",4,4,3,4,3,5,5,5,5,5,5,6,4,5,2,7,7,"Honesty, Empathy, Non-harm",45 - 54,Self-employed / freelance,Bachelor’s degree,Australia,Man,5
Yes,Often,3,5,5,6,"Family, Security / Stability",My family,2,3,1,6,3,4,2,3,6,Purpose / direction,3,4,2,2,2,4,3,5,3,2,1,4,2,5,2,4,6,"Honesty, Non-harm, Transparency",35 - 44,Employed part-time,Bachelor’s degree,UK,Woman,5
Yes,Sometimes,7,7,2,7,"Family, Honesty / Integrity, Health",My family ,7,7,7,1,7,7,1,1,1,None,4,5,4,4,5,7,2,1,1,3,2,1,1,7,1,4,5,"Honesty, Transparency, Accountability",45 - 54,Employed full time,High school,UK,Man,7
Yes,Rarely,6,6,6,6,"Honesty / Integrity, Compassion, Creativity",Being true to myself ,5,6,5,3,5,5,2,2,2,Finances,3,3,3,2,4,5,2,2,1,5,5,4,2,7,6,5,6,"Human wellbeing, Non-harm, Accountability",55 - 65,Not currently working,Bachelor’s degree,UK,Woman,5
Yes,Occasionally,7,7,7,7,"Family, Honesty / Integrity, Faith / Spirituality",My faith in God and Jesus as my Saviour who died for me that I can live. To follow God's word and live life according to His law.,7,4,7,1,5,6,4,4,7,Digital habits,3,4,1,3,4,5,2,2,4,7,7,7,1,7,7,4,4,Just be used as a tool and not try to mimic a human being,35 - 44,Not currently working,High school,UK,Woman,4
Yes,Occasionally,3,3,5,3,"Honesty / Integrity, Achievement / Growth, Adventure",tough question. To keep plodding on and be able to afford fun adventures,2,1,1,6,2,2,3,5,5,"Digital habits, Purpose / direction",3,4,2,4,2,5,3,3,5,1,2,3,2,6,7,5,6,"Honesty, Responsibility, Accountability",35 - 44,Employed full time,Some university/college,UK,Man,4
Yes,Occasionally,6,5,6,6,"Honesty / Integrity, Health, Compassion",Friends,5,5,4,5,5,5,2,4,3,"Work / career, Finances, Purpose / direction",4,4,4,4,4,5,2,3,3,5,3,5,3,6,5,6,6,"Honesty, Respect, Non-harm",25 - 34,Not currently working,High school,US,Man,5
Yes,Rarely,7,7,7,6,"Honesty / Integrity, Security / Stability, Compassion",Integrity ,4,2,5,2,4,5,2,2,1,"Time / focus, Work / career, Finances",4,5,2,3,3,7,4,2,2,3,2,2,2,7,7,4,4,"Fairness, Responsibility, Transparency",18 - 24,Not currently working,Postgraduate degree,UK,Woman,6
Yes,Everyday,6,5,5,6,"Family, Honesty / Integrity, Compassion",My partner,6,5,5,2,6,6,1,2,2,Time / focus,4,4,3,4,3,6,3,2,1,6,3,2,2,6,3,5,6,"Honesty, Responsibility, Non-harm",55 - 65,Employed full time,High school,UK,Man,6
Yes,Occasionally,6,6,6,6,"Family, Community / Contribution, Faith / Spirituality","To live a morally good life, to be a good husband and father to my family, to die knowing I did the best that I could, with what was given to me.",6,6,6,2,6,5,3,4,5,"Health, Relationships, Finances",3,3,4,2,4,5,3,4,3,7,6,6,6,7,6,6,7,"Fairness, Human wellbeing, Non-harm",45 - 54,Employed full time,Bachelor’s degree,US,Man,6
Yes,Never,7,6,6,6,"Compassion, Independence, Community / Contribution",Being kind and caring toward others probably :),3,2,3,4,5,6,1,4,2,"Health, Relationships, Finances, Purpose / direction",2,3,2,2,3,6,1,1,1,2,1,1,1,7,5,6,7,"Human wellbeing, Non-harm, Accountability",25 - 34,Employed part-time,Bachelor’s degree,US,Woman,2
Yes,Sometimes,6,6,4,6,"Honesty / Integrity, Achievement / Growth, Health",Having positive relationships and being a good partner/friend/family member.,5,5,4,4,5,5,2,3,3,"Work / career, Digital habits, Purpose / direction",3,3,4,3,4,6,6,3,4,5,2,3,4,7,7,5,5,"Honesty, Responsibility, Accountability",25 - 34,Not currently working,Postgraduate degree,US,Woman,4
Yes,Everyday,6,6,4,5,"Achievement / Growth, Security / Stability, Adventure",Having a successful career and life full of adventure and experiences.,5,5,4,6,5,5,5,5,5,"Health, Finances, Purpose / direction",3,3,4,2,3,5,5,3,4,6,5,6,4,6,6,5,5,"Responsibility, Transparency, Accountability",35 - 44,Employed full time,Postgraduate degree,US,Man,5
Yes,Occasionally,6,6,6,5,"Family, Independence, Creativity",Family,6,6,4,3,2,5,2,3,3,"Digital habits, Finances, Purpose / direction",4,4,3,3,4,6,5,5,5,4,3,3,2,6,2,6,6,"Honesty, Human wellbeing, Non-harm",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,6
Yes,Sometimes,7,6,7,6,"Family, Honesty / Integrity, Responsibility",My family,7,6,7,1,7,7,1,1,1,Work / career,4,4,1,3,4,7,1,1,1,2,3,4,5,7,6,1,6,"Fairness, Responsibility, Non-harm",35 - 44,Not currently working,High school,UK,Woman,6
